borough,price/night,est_night/year,annual_return,avg_house_price,avg_increment,avg_volume/year_scale,profit_aft1,ROI
Barking and Dagenham,0.02,0.25,0.07,1.0,0.33,0.34,0.38,0.21
Barnet,0.2,0.34,0.2,0.77,0.16,0.81,0.68,0.37
Bexley,0.0,0.0,0.0,0.96,0.0,0.57,0.43,0.0
Brent,0.24,0.27,0.19,0.81,0.47,0.47,0.44,0.36
Bromley,0.04,0.09,0.04,0.85,0.03,0.9,0.64,0.09
Camden,0.58,0.59,0.6,0.43,0.44,0.42,0.43,0.66
City of London,0.79,0.67,0.87,0.47,0.95,0.0,0.0,1.0
Croydon,0.08,0.17,0.07,0.93,0.07,0.88,0.63,0.17
Ealing,0.19,0.23,0.15,0.82,0.22,0.65,0.54,0.29
Enfield,0.06,0.06,0.03,0.9,0.06,0.68,0.5,0.08
Greenwich,0.19,0.23,0.15,0.9,0.33,0.56,0.5,0.34
Hackney,0.23,0.24,0.17,0.73,1.0,0.37,0.36,0.3
Hammersmith and Fulham,0.51,0.29,0.35,0.55,0.14,0.43,0.33,0.47
Haringey,0.22,0.23,0.16,0.74,0.5,0.47,0.4,0.28
Harrow,0.15,0.15,0.09,0.84,0.04,0.46,0.35,0.18
Havering,0.06,0.02,0.02,0.93,0.06,0.56,0.42,0.05
Hillingdon,0.06,1.0,0.33,0.89,0.08,0.62,0.61,0.73
Hounslow,0.27,0.27,0.2,0.89,0.1,0.49,0.46,0.46
Islington,0.36,0.27,0.25,0.64,0.57,0.39,0.33,0.37
Kensington and Chelsea,1.0,0.43,0.75,0.0,0.4,0.44,0.0,0.58
Kingston upon Thames,0.14,0.15,0.08,0.8,0.21,0.43,0.33,0.16
Lambeth,0.24,0.34,0.22,0.78,0.72,0.71,0.7,0.41
Lewisham,0.08,0.13,0.06,0.88,0.65,0.64,0.55,0.15
Merton,0.34,0.12,0.15,0.78,0.36,0.51,0.43,0.28
Newham,0.15,0.3,0.17,0.93,0.6,0.5,0.51,0.41
Redbridge,0.07,0.16,0.07,0.88,0.15,0.6,0.47,0.16
Richmond upon Thames,0.44,0.21,0.23,0.63,0.17,0.57,0.46,0.34
Southwark,0.32,0.4,0.3,0.79,0.75,0.6,0.63,0.56
Sutton,0.16,0.15,0.1,0.92,0.03,0.53,0.44,0.23
Tower Hamlets,0.22,0.48,0.28,0.85,0.5,0.62,0.62,0.58
Waltham Forest,0.08,0.17,0.07,0.86,0.71,0.55,0.48,0.16
Wandsworth,0.42,0.25,0.3,0.69,0.5,1.0,1.0,0.48
Westminster,0.99,0.63,1.0,0.31,0.63,0.63,0.93,0.96
