borough,price/night,est_night/year,annual_return,avg_house_price,avg_increment,avg_volume/year_scale,profit_aft1,ROI
Camden,0.58,0.59,0.6,0.43,0.44,0.42,0.43,0.66
City of London,0.79,0.67,0.87,0.47,0.95,0.0,0.0,1.0
Greenwich,0.19,0.23,0.15,0.9,0.33,0.56,0.5,0.34
Hackney,0.23,0.24,0.17,0.73,1.0,0.37,0.36,0.3
Hammersmith and Fulham,0.51,0.29,0.35,0.55,0.14,0.43,0.33,0.47
Islington,0.36,0.27,0.25,0.64,0.57,0.39,0.33,0.37
Kensington and Chelsea,1.0,0.43,0.75,0.0,0.4,0.44,0.0,0.58
Lambeth,0.24,0.34,0.22,0.78,0.72,0.71,0.7,0.41
Southwark,0.32,0.4,0.3,0.79,0.75,0.6,0.63,0.56
Tower Hamlets,0.22,0.48,0.28,0.85,0.5,0.62,0.62,0.58
Wandsworth,0.42,0.25,0.3,0.69,0.5,1.0,1.0,0.48
Westminster,0.99,0.63,1.0,0.31,0.63,0.63,0.93,0.96
