,borough,price/night,occupancy_day,annual_income,average,turnaround
0,Barking and Dagenham,59.833333333333336,228.0580808080808,13645.475168350169,298620,21.884177451924174
1,Barnet,93.64011976047904,227.86107784431138,21336.938618093154,519611,24.352650082584187
2,Bexley,57.452107279693486,219.16091954022988,12591.256660941559,336858,26.75332646064973
3,Brent,102.21919385796545,245.58387715930903,25103.38594773818,474513,18.902350503150103
4,Bromley,65.46177370030581,233.81804281345566,15306.14380570285,436460,28.515346879034368
5,Camden,153.21518987341773,238.22224002563692,36499.26573759886,841744,23.061943384052718
6,City of London,188.5397148676171,175.0957230142566,33012.4976916472,796181,24.1175632161104
7,Croydon,59.144821264894595,235.81209899175067,13947.064446966724,365441,26.20200124474781
8,Ealing,90.21620111731843,247.67150837988828,22343.98261102962,472913,21.1651167221441
9,Enfield,66.44084507042254,216.24647887323943,14367.598799841302,392835,27.34172950349498
10,Greenwich,90.27764976958525,241.235599078341,21778.182925550555,393062,18.048429538115993
11,Hackney,94.48945079722982,286.4665807698502,27068.069888703427,555655,20.528061375809315
12,Hammersmith and Fulham,148.23015122873346,248.08648393194707,36773.89703103727,721459,19.618780119797655
13,Haringey,91.63546798029557,268.86744290192564,24637.793954983354,547222,22.210673609814663
14,Harrow,78.04228329809725,212.0401691331924,16548.098950069056,449261,27.148798261091205
15,Havering,67.67578125,215.95703125,14615.060806274414,364778,24.95904771353374
16,Hillingdon,68.27777777777777,203.69219219219218,13907.650233566897,404537,29.087372288355883
17,Hounslow,108.50950226244343,244.12488687782806,26489.869964988433,400906,15.134313627431016
18,Islington,117.31201434548714,275.1430563857342,32277.58617778443,634610,19.661011715825907
19,Kensington and Chelsea,217.93534057255675,215.50082263902598,46965.24517550228,1243722,26.48175252471039
20,Kingston upon Thames,82.38545454545455,264.0909090909091,21757.249586776863,487195,22.392306438222622
21,Lambeth,100.76245132199222,266.43717974994877,26846.8633549231,508419,18.937743053203555
22,Lewisham,70.13069647463456,272.2725709372313,19094.665030767377,409239,21.432112023991525
23,Merton,115.73607038123167,260.69354838709677,30171.646864062055,506193,16.7771087299492
24,Newham,83.4538424359594,245.3779603673272,20477.733641752016,363957,17.77330472049547
25,Redbridge,70.68484042553192,213.33244680851064,15079.36996024785,412566,27.359631144245693
26,Richmond upon Thames,129.76499589153656,252.8619556285949,32812.63063327051,650028,19.810298274009803
27,Southwark,124.274727492935,269.0946709729511,33441.666904964506,499247,14.928890997532346
28,Sutton,85.09748427672956,240.69811320754718,20482.803904117718,371875,18.155473329764234
29,Tower Hamlets,95.77720331850426,253.7708308284237,24305.460460559687,438461,18.039608865320112
30,Waltham Forest,70.93012211668928,255.9348710990502,18153.49166097476,430502,23.714556298029777
31,Wandsworth,124.28568075117371,278.4302816901409,34604.89710160022,588613,17.009528977122173
32,Westminster,235.68963089610781,214.04928090113648,50449.19600916616,955353,18.936932113376415
